Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),Round_Communication(MB),Total_Communication(MB),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(f1),01-LDAP(rounds),02-Portmap(f1),02-Portmap(rounds),03-DNS(f1),03-DNS(rounds)
mlp,auto,auto,fedavg,False,0,0 1 2 3,73,220,0.92556,0.06462,001.61,0.0711,5.1924,0.89655,54,0.83333,46,0.98810,62,0.98425,58
mlp,auto,auto,fedavg,False,0,0 1 2 3,74,223,0.92556,0.06462,001.61,0.0711,5.2635,0.89655,55,0.83333,47,0.98810,62,0.98425,59
mlp,auto,auto,fedavg,False,0,0 1 2 3,75,226,0.92556,0.06462,002.28,0.0711,5.3346,0.89655,55,0.83333,48,0.98810,63,0.98425,60
mlp,auto,auto,fedavg,False,0,0 1 2 3,76,229,0.92556,0.06462,001.48,0.0711,5.4057,0.89655,56,0.83333,49,0.98810,64,0.98425,60
mlp,auto,auto,fedavg,False,0,0 1 2 3,77,232,0.92556,0.06462,002.21,0.0711,5.4769,0.89655,57,0.83333,50,0.98810,65,0.98425,60
mlp,auto,auto,fedavg,False,0,0 1 2 3,78,235,0.92807,0.06109,001.49,0.0711,5.5480,0.89655,57,0.84337,51,0.98810,66,0.98425,61
mlp,auto,auto,fedavg,False,0,0 1 2 3,79,238,0.92807,0.06109,001.56,0.0711,5.6191,0.89655,58,0.84337,52,0.98810,66,0.98425,62
mlp,auto,auto,fedavg,False,0,0 1 2 3,80,241,0.93327,0.05414,001.08,0.0711,5.6902,0.89655,59,0.86420,52,0.98810,67,0.98425,63
mlp,auto,auto,fedavg,False,0,0 1 2 3,81,244,0.93327,0.05414,001.37,0.0711,5.7614,0.89655,60,0.86420,52,0.98810,68,0.98425,64
mlp,auto,auto,fedavg,False,0,0 1 2 3,82,247,0.93327,0.05414,001.53,0.0711,5.8325,0.89655,60,0.86420,53,0.98810,69,0.98425,65
mlp,auto,auto,fedavg,False,0,0 1 2 3,83,250,0.93327,0.05414,001.84,0.0711,5.9036,0.89655,61,0.86420,54,0.98810,70,0.98425,65
mlp,auto,auto,fedavg,False,0,0 1 2 3,84,253,0.93327,0.05414,001.35,0.0711,5.9748,0.89655,62,0.86420,55,0.98810,70,0.98425,66
mlp,auto,auto,fedavg,False,0,0 1 2 3,85,256,0.93327,0.05414,002.52,0.0711,6.0459,0.89655,62,0.86420,56,0.98810,71,0.98425,67
mlp,auto,auto,fedavg,False,0,0 1 2 3,86,259,0.93327,0.05414,001.28,0.0711,6.1170,0.89655,62,0.86420,57,0.98810,72,0.98425,68
